transaction_id,amount,account_age_days,num_prev_transactions,device_trust_score,location_mismatch,high_risk_merchant,multiple_failed_attempts,is_night_transaction,is_fraud
TXN00000,4787.36,1845,450,0.28,0,0,0,0,0
TXN00001,2988.93,1181,398,0.31,0,0,0,1,0
TXN00002,2764.57,151,3,0.47,0,0,0,1,1
TXN00003,2764.6,1721,236,0.29,0,0,0,0,0
TXN00004,9299.43,1202,37,0.67,1,0,0,1,0
TXN00005,5733.41,1557,19,0.29,0,0,0,0,0
TXN00006,2262.16,112,112,0.27,0,0,0,0,0
TXN00007,4939.63,683,22,0.52,0,0,0,0,0
TXN00008,3997.92,1162,420,0.9,0,0,0,1,0
TXN00009,431.83,1257,445,0.52,1,0,0,0,0
TXN00010,1342.48,332,366,0.47,0,0,0,0,0
TXN00011,4212.33,1566,135,0.62,0,0,1,0,0
TXN00012,8730.35,893,420,0.33,0,0,0,0,1
TXN00013,2783.7,1331,247,0.42,0,0,0,0,0
TXN00014,2116.05,161,300,0.29,0,0,0,0,1
TXN00015,3628.02,1426,96,0.61,1,1,0,0,1
TXN00016,2010.57,1614,32,0.73,1,0,0,0,0
TXN00017,2635.48,278,134,0.71,0,0,0,0,0
TXN00018,3298.6,1344,254,0.33,0,0,0,1,0
TXN00019,1280.27,1557,277,0.8,0,0,1,0,0
TXN00020,5940.12,897,132,0.33,0,0,0,0,0
TXN00021,1070.36,497,237,0.24,0,0,0,1,0
TXN00022,945.59,1387,14,0.41,0,0,0,0,0
TXN00023,3867.9,1396,276,0.64,0,0,0,1,0
TXN00024,5626.71,1916,125,0.23,0,0,0,0,0
TXN00025,3795.67,655,344,0.68,0,0,0,0,0
TXN00026,3043.56,1060,16,0.88,0,0,0,1,0
TXN00027,2614.76,303,311,0.36,0,0,0,0,0
TXN00028,2279.82,438,49,0.51,0,0,0,0,0
TXN00029,6875.6,726,134,0.31,0,0,0,0,0
TXN00030,4242.09,1056,117,0.43,0,0,0,0,0
TXN00031,2434.64,186,377,0.12,0,1,0,1,0
TXN00032,1873.21,1198,305,0.96,0,0,0,0,0
TXN00033,5175.24,1590,59,0.47,0,0,0,1,0
TXN00034,6766.88,673,124,0.81,1,0,0,0,0
TXN00035,6362.42,1274,466,0.23,0,0,0,0,0
TXN00036,1602.09,1001,115,0.83,0,0,0,0,0
TXN00037,2597.0,1787,390,0.87,0,0,0,1,1
TXN00038,2242.87,1959,423,0.74,0,0,0,0,0
TXN00039,2876.58,279,172,0.91,0,0,0,1,0
TXN00040,5902.18,683,186,0.25,1,0,0,0,0
